nohup: ignorando entrada
2025-12-22 20:41:37,595 | INFO | api | ✅ Loaded .env from /home/edenilson/Downloads/kucoin_app/.env
2025-12-22 20:41:37,605 | INFO | database | Database initialized successfully
2025-12-22 20:41:37,606 | INFO | database | Database initialized successfully
2025-12-22 20:41:37,624 | INFO | database | Database initialized successfully
2025-12-22 20:41:39,789 | INFO | api | ✅ Successfully fetched accounts
2025-12-22 20:41:39,790 | INFO | api | ✅ Found 3 non-zero trade balances
2025-12-22 20:41:41,404 | INFO | database | Database initialized successfully
2025-12-22 20:41:41,415 | INFO | database | Trade inserted: 8b7f8f48-8bfc-4501-8b01-eee130ac6889
2025-12-22 20:41:42,238 | INFO | database | Database initialized successfully
2025-12-22 20:41:42,242 | INFO | database | Trade inserted: 9db05bcc-eda9-4395-ae0a-5e6f6b2ac555
